FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
GBR1,GBR1,GBR,0.0102,0.011,-0.0053,-0.0043,0.0183,0.0059,-0.0013,0.0103,0.0227,-0.002
GBR2,GBR2,GBR,0.01,0.0111,-0.0045,-0.0036,0.0165,0.0057,-0.0003,0.008,0.0234,-0.0299
GBR3,GBR3,GBR,0.0104,0.0112,-0.005,-0.0027,0.0215,0.0064,0.0033,0.0206,0.0249,-0.0298
GBR4,GBR4,GBR,0.0102,0.0112,-0.005,-0.0029,0.014,0.0042,0.0031,0.0139,0.0402,-0.0103
GBR5,GBR5,GBR,0.0101,0.0108,-0.0061,-0.0033,0.0164,0.0071,-0.0019,0.0119,0.0242,-0.0259
GBR6,GBR6,GBR,0.0104,0.0107,-0.0035,-0.0027,0.0234,0.006,0.0007,0.0168,0.0384,-0.0073
GBR7,GBR7,GBR,0.0104,0.0111,-0.0049,-0.0039,0.0172,0.0043,0.0004,0.011,0.0262,-0.0092
GBR8,GBR8,GBR,0.0101,0.0112,-0.0051,-0.0029,0.0172,0.0071,0.001,0.0126,0.0261,-0.015
GBR9,GBR9,GBR,0.0105,0.0109,-0.0043,-0.0029,0.0172,0.0084,-0.0023,0.0241,0.0176,-0.0328
GBR10,GBR10,GBR,0.0107,0.0109,-0.0059,-0.0031,0.0201,0.0078,0.0024,0.0074,0.0277,-0.0058
GBR11,GBR11,GBR,0.0099,0.0111,-0.0059,-0.0033,0.0195,0.0113,0.0007,0.0097,0.0137,-0.0222
GBR12,GBR12,GBR,0.0103,0.0112,-0.006,-0.005,0.0159,0.0073,0.004,0.017,0.0281,-0.002
GBR13,GBR13,GBR,0.0103,0.0105,-0.0044,-0.0037,0.0246,0.0057,-0.0007,0.0078,0.0306,0.0077
GBR14,GBR14,GBR,0.0102,0.0109,-0.0034,-0.0009,0.021,0.0078,0.0028,0.0088,0.0382,0.0126
GBR15,GBR15,GBR,0.0103,0.011,-0.0042,-0.0032,0.0182,0.0083,0.0027,0.0051,0.0249,-0.0091
GBR16,GBR16,GBR,0.0102,0.0114,-0.0051,-0.0039,0.0168,0.005,0.0003,0.0172,0.0236,-0.0307
GBR17,GBR17,GBR,0.01,0.0111,-0.0057,-0.0038,0.0197,0.0059,0.0044,0.0145,0.0233,-0.0199
GBR18,GBR18,GBR,0.0101,0.0111,-0.004,-0.0038,0.0138,0.0051,-0.0021,0.0042,0.0221,-0.0069
GBR19,GBR19,GBR,0.0104,0.0112,-0.005,-0.0037,0.0177,0.0083,-0.0013,0.0145,0.0305,-0.0073
GBR20,GBR20,GBR,0.0104,0.0112,-0.0043,-0.004,0.0205,0.0073,0,0.0065,0.0256,-0.003
GBR21,GBR21,GBR,0.0103,0.0108,-0.0052,-0.0021,0.0158,0.0067,0.0055,0.0092,0.0262,-0.006
GBR22,GBR22,GBR,0.0102,0.0109,-0.0056,-0.0038,0.0179,0.0072,0.0005,0.0096,0.0253,-0.0148
GBR23,GBR23,GBR,0.0104,0.0114,-0.0051,-0.0042,0.0227,0.0083,-0.0003,0.0194,0.0422,-0.0123
GBR24,GBR24,GBR,0.0105,0.0114,-0.0038,-0.0026,0.0243,0.0073,0.0021,0.0104,0.0248,-0.0001
GBR25,GBR25,GBR,0.0103,0.0109,-0.0058,-0.0024,0.0185,0.0068,0.001,0.0094,0.027,-0.019
GBR26,GBR26,GBR,0.01,0.011,-0.004,-0.0028,0.0194,0.0051,0.0011,0.0082,0.0228,-0.0363
GBR27,GBR27,GBR,0.0103,0.011,-0.0053,-0.0021,0.0237,0.0072,-0.002,0.0107,0.0304,-0.0112
GBR28,GBR28,GBR,0.0107,0.0119,-0.0054,-0.004,0.0163,0.0011,-0.0018,0.0155,0.0175,-0.0037
GBR29,GBR29,GBR,0.0104,0.0113,-0.0046,-0.0037,0.0108,0.0073,-0.0035,0.0157,0.0075,-0.0331
GBR30,GBR30,GBR,0.01,0.0119,-0.0039,-0.0044,0.0132,0.0079,0.0005,0.0078,0.0129,-0.037
GBR31,GBR31,GBR,0.0104,0.0111,-0.0047,-0.0026,0.0222,0.0045,-0.0004,0.0035,0.0261,0.0177
GBR32,GBR32,GBR,0.0098,0.0117,-0.0043,-0.005,0.0089,0.0006,0.0022,0.0066,0.003,-0.0267
